Product,Business Location,Unit Purchase Price,Selling Price,Current stock,Product Type,Category,Brand,Tax,SKU
T1 Sowhat,BEST PRICE SHOP,"KSh 3,800","KSh 4,000",0 pieces,Single,FEATURE PHONES,SOWHAT,,24643
T1 X-Tigi,BEST PRICE SHOP,"KSh 1,500","KSh 1,550",0 pieces,Single,,,,16992
T100 Luxus Not for selling,BEST PRICE SHOP,KSh 810,KSh 850,0 pieces,Single,FEATURE PHONES,LUXUS,,24204
T1000 Bontale,BEST PRICE SHOP,"KSh 2,300","KSh 2,350",0 pieces,Single,,,,16883
T1000 Samhe,BEST PRICE SHOP,"KSh 2,350","KSh 2,450",11 pieces,Single,FEATURE PHONES,SAMHE,,29385
T101 Tecno Copy,BEST PRICE SHOP,KSh 650,KSh 700,52 pieces,Single,,,,18678
T101 Tecno.,BEST PRICE SHOP,"KSh 1,270","KSh 1,370",-2 pieces,Single,FEATURE PHONES,TECNO,,17081
T110 Telsom,BEST PRICE SHOP,KSh 800,KSh 830,4 pieces,Single,,,,18079
T12 Taishen,BEST PRICE SHOP,"KSh 4,500","KSh 4,700",0 pieces,Single,FEATURE PHONES,TAISHEN,,18356
T120 Telsom,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,,,,18080
T14 Pro Max Telsom.,BEST PRICE SHOP,"KSh 1,550","KSh 1,650",72 pieces,Single,,,,18665
T2 Sowhat,BEST PRICE SHOP,"KSh 3,800","KSh 4,000",0 pieces,Single,FEATURE PHONES,SOWHAT,,24644
T201 Copy,BEST PRICE SHOP,KSh 740,KSh 770,0 pieces,Single,,,,17456
T201 Tecno,BEST PRICE SHOP,"KSh 1,400","KSh 1,440",0 pieces,Single,,,,17295
T210 Telsom.,BEST PRICE SHOP,KSh 800,KSh 830,13 pieces,Single,,,,18081
T2171 Samhe,BEST PRICE SHOP,KSh 720,KSh 760,-10 pieces,Single,FEATURE PHONES,SAMHE,,18398
T2173 Samhe.,BEST PRICE SHOP,KSh 740,KSh 770,1 pieces,Single,,,,18553
T220 Telsom,BEST PRICE SHOP,KSh 820,KSh 850,4 pieces,Single,,,,18082
T3 Nunix Woofer,BEST PRICE SHOP,"KSh 3,300","KSh 3,650",0 pieces,Single,,,,17839
T301 Copy,BEST PRICE SHOP,KSh 660,KSh 700,175 pieces,Single,,,,17794
T301 Tecno,BEST PRICE SHOP,"KSh 1,350","KSh 1,400",0 pieces,Single,FEATURE PHONES,TECNO,,17082
T313 Tecno,BEST PRICE SHOP,"KSh 1,700","KSh 1,750",12 pieces,Single,,,,17085
T349 Copy,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,,,,17458
T351,BEST PRICE SHOP,"KSh 1,310","KSh 1,500",0 pieces,Single,,,,17128
T351 Copy.,BEST PRICE SHOP,KSh 650,KSh 700,-133 pieces,Single,,,,17720
T352 Copy.,BEST PRICE SHOP,KSh 650,KSh 710,0 pieces,Single,,,,18256
T352 Tecno,BEST PRICE SHOP,"KSh 1,600","KSh 1,850",0 pieces,Single,,,,17657
T371C,BEST PRICE SHOP,KSh 0,KSh 850,0 pieces,Single,,,,17617
T372 Tecno,BEST PRICE SHOP,"KSh 2,170","KSh 2,200",99 pieces,Single,FEATURE PHONES,TECNO,,17091
